"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Consumer gets catalog from the provider. No constraints.","","Mon Sep 01 12:33:36 GMT 2025","passed","Mon Sep 01 12:33:36 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","4036","transferData_failing_withProxyOriginalResponse()","","Mon Sep 01 12:35:27 GMT 2025","passed","Mon Sep 01 12:35:31 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_failing_withProxyOriginalResponse"
"","168","Expect the Catalog request to fail if a credential is expired","","Mon Sep 01 12:34:57 GMT 2025","passed","Mon Sep 01 12:34:57 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","catalogRequest_whenCredentialExpired"
"","53","4.3.3 Verify invalid access token - iss and sub different","","Mon Sep 01 12:32:24 GMT 2025","passed","Mon Sep 01 12:32:24 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenInvalidSub"
"","945","shouldFail_whenDestinationBucketDoesNotExist()","","Mon Sep 01 12:33:38 GMT 2025","passed","Mon Sep 01 12:33:39 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldFail_whenDestinationBucketDoesNotExist"
"","1346","BusinessPartnerCreated event is published","","Mon Sep 01 12:34:14 GMT 2025","passed","Mon Sep 01 12:34:16 GMT 2025","","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","shouldPublishBusinessPartnerCreatedEvent"
"","50","4.3.3 Verify invalid access token - auth token bound to a different iss/sub","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenInvalidIssuerSub"
"","27","Policy is not accepted Policy with different actions types","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","50","4.3.1 Verifier should reject an ID token that does not contain an access token","","Mon Sep 01 12:32:24 GMT 2025","passed","Mon Sep 01 12:32:24 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_01_presentationResponse_idTokenNoTokenClaim"
"","4363","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon Sep 01 12:34:11 GMT 2025","passed","Mon Sep 01 12:34:15 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate"
"","152","Expect the Catalog request to fail if a credential is expired","","Mon Sep 01 12:35:44 GMT 2025","passed","Mon Sep 01 12:35:45 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialExpired"
"","63","5.4.2.2 Verifier should accept a presentation response message that contains more credentials than requested","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_02_presentationResponse_tooManyCredentials"
"","6659","httpPushDataTransfer()","","Mon Sep 01 12:36:24 GMT 2025","passed","Mon Sep 01 12:36:31 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushDataTransfer"
"","8587","transferData_withAutomaticRefresh()","","Mon Sep 01 12:37:36 GMT 2025","passed","Mon Sep 01 12:37:44 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withAutomaticRefresh"
"","60","5.1 Verifier should accept a valid PresentationResponseMessage","","Mon Sep 01 12:32:26 GMT 2025","passed","Mon Sep 01 12:32:26 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_01_presentationResponse_success"
"","28","Policy is accepted Precedence","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","48","Policy is accepted Managed Legal Entity Region","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","229","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon Sep 01 12:34:16 GMT 2025","passed","Mon Sep 01 12:34:16 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpnLegacy_shouldReject"
"","43","4.3.3 Verify invalid access token - expired","","Mon Sep 01 12:32:24 GMT 2025","passed","Mon Sep 01 12:32:24 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenExpired"
"","46","Policy is accepted Warranty","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","6593","Verify all existing TPs related to an agreement are terminated upon its retirement","","Mon Sep 01 12:33:26 GMT 2025","passed","Mon Sep 01 12:33:32 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.RetireAgreementTest","org.eclipse.tractusx.edc.tests.transfer.RetireAgreementTest","retireAgreement_shouldCloseTransferProcesses"
"","3063","Contract policy is fulfilled DataExchangeGovernance use case","","Mon Sep 01 12:35:48 GMT 2025","passed","Mon Sep 01 12:35:51 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","25","Policy is accepted Warranty Duration Months","","Mon Sep 01 12:33:52 GMT 2025","passed","Mon Sep 01 12:33:52 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","287","Expect the Catalog request to fail if a credential is revoked","","Mon Sep 01 12:35:44 GMT 2025","passed","Mon Sep 01 12:35:44 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialRevoked"
"","6252","transferData_privateBackend()","","Mon Sep 01 12:33:53 GMT 2025","passed","Mon Sep 01 12:33:59 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_privateBackend"
"","98","BusinessPartnerUpdated event is published","","Mon Sep 01 12:34:16 GMT 2025","passed","Mon Sep 01 12:34:16 GMT 2025","","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","shouldPublishBusinessPartnerUpdatedEvent"
"","1264","Refresh token is null or empty (missing) [2] ","","Mon Sep 01 12:33:04 GMT 2025","passed","Mon Sep 01 12:33:06 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidRefreshToken"
"","107","X.X Verifier should reject Presentations where at least 1 credential schema is violated","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_x_x_presentationResponse_invalidCredentialSchema"
"","161","triggerDataTransfer_shouldFail_whenDataFlowIsFinite()","","Mon Sep 01 12:33:04 GMT 2025","passed","Mon Sep 01 12:33:04 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsFinite"
"","191","Verify HTTP 200 response and body when refreshing succeeds","","Mon Sep 01 12:32:37 GMT 2025","passed","Mon Sep 01 12:32:37 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_success"
"","3956","Contract policy is fulfilled DataExchangeGovernance use case","","Mon Sep 01 12:35:01 GMT 2025","passed","Mon Sep 01 12:35:05 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","2051","transferFile_success(Vault)","","Mon Sep 01 12:33:01 GMT 2025","passed","Mon Sep 01 12:33:03 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_success"
"","75","5.4.3 Verifier should reject Presentations where the holder does not match the credentialSubject.id","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_presentationResponse_holderNotEqualSubjectId"
"","45","Policy is accepted Warranty Duration Months","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","25","Policy is accepted Warranty","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:52 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","190","4.3.3 Verify invalid access token - jti","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenJtiUsedTwice"
"","23","Policy is accepted Business Partner Number","","Mon Sep 01 12:33:52 GMT 2025","passed","Mon Sep 01 12:33:52 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","329","Provider gets 400 when empty asset selector is used","","Mon Sep 01 12:33:02 GMT 2025","passed","Mon Sep 01 12:33:03 GMT 2025","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldFail_whenContractDefinitionHasEmptyAssetSelector"
"","3990","transferData_privateBackend_withConsumerDataPlane()","","Mon Sep 01 12:35:14 GMT 2025","passed","Mon Sep 01 12:35:18 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_privateBackend_withConsumerDataPlane"
"","41","Policy is accepted ContractTermination","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
